dpurp,mode,hh_rgc,trexpfac
None/Home,,Not in RGC,12.0
None/Home,Walk,Auburn,458.0
None/Home,Walk,Ballard-Interbay,143.0
None/Home,Walk,Bellevue,10770.0
None/Home,Walk,Bothell Canyon Park,77.0
None/Home,Walk,Bremerton,1476.0
None/Home,Walk,Burien,856.0
None/Home,Walk,Cascade,175.0
None/Home,Walk,Duwamish,333.0
None/Home,Walk,Everett,3625.0
None/Home,Walk,Frederickson,50.0
None/Home,Walk,Kent,536.0
None/Home,Walk,Kent MIC,67.0
None/Home,Walk,Kirkland Totem Lake,1108.0
None/Home,Walk,Lakewood,615.0
None/Home,Walk,Lynnwood,872.0
None/Home,Walk,North Tukwila,4.0
None/Home,Walk,Not in RGC,560563.0
None/Home,Walk,Paine Field / Boeing Everett,64.0
None/Home,Walk,Port of Tacoma,1.0
None/Home,Walk,Puget Sound Industrial Center- Bremerton,1.0
None/Home,Walk,Puyallup Downtown,500.0
None/Home,Walk,Puyallup South Hill,339.0
None/Home,Walk,Redmond Downtown,2789.0
None/Home,Walk,Redmond-Overlake,1001.0
None/Home,Walk,Renton,1625.0
None/Home,Walk,SeaTac,1848.0
None/Home,Walk,Seattle Downtown,38520.0
None/Home,Walk,Seattle First Hill/Capitol Hill,41183.0
None/Home,Walk,Seattle Northgate,2732.0
None/Home,Walk,Seattle South Lake Union,12093.0
None/Home,Walk,Seattle University Community,11667.0
None/Home,Walk,Seattle Uptown,7633.0
None/Home,Walk,Silverdale,873.0
None/Home,Walk,Sumner Pacific,12.0
None/Home,Walk,Tacoma Downtown,7399.0
None/Home,Walk,Tacoma Mall,1560.0
None/Home,Walk,Tukwila,47.0
None/Home,Walk,University Place,1504.0
None/Home,Bike,Auburn,36.0
None/Home,Bike,Ballard-Interbay,19.0
None/Home,Bike,Bellevue,407.0
None/Home,Bike,Bothell Canyon Park,19.0
None/Home,Bike,Bremerton,90.0
None/Home,Bike,Burien,100.0
None/Home,Bike,Cascade,30.0
None/Home,Bike,Duwamish,23.0
None/Home,Bike,Everett,240.0
None/Home,Bike,Frederickson,16.0
None/Home,Bike,Kent,66.0
None/Home,Bike,Kent MIC,10.0
None/Home,Bike,Kirkland Totem Lake,178.0
None/Home,Bike,Lakewood,74.0
None/Home,Bike,Lynnwood,119.0
None/Home,Bike,Not in RGC,75237.0
None/Home,Bike,Paine Field / Boeing Everett,12.0
None/Home,Bike,Puyallup Downtown,39.0
None/Home,Bike,Puyallup South Hill,49.0
None/Home,Bike,Redmond Downtown,234.0
None/Home,Bike,Redmond-Overlake,74.0
None/Home,Bike,Renton,204.0
None/Home,Bike,SeaTac,273.0
None/Home,Bike,Seattle Downtown,1605.0
None/Home,Bike,Seattle First Hill/Capitol Hill,2367.0
None/Home,Bike,Seattle Northgate,366.0
None/Home,Bike,Seattle South Lake Union,715.0
None/Home,Bike,Seattle University Community,2110.0
None/Home,Bike,Seattle Uptown,587.0
None/Home,Bike,Silverdale,49.0
None/Home,Bike,Tacoma Downtown,719.0
None/Home,Bike,Tacoma Mall,156.0
None/Home,Bike,Tukwila,6.0
None/Home,Bike,University Place,185.0
None/Home,SOV,Auburn,651.0
None/Home,SOV,Ballard-Interbay,263.0
None/Home,SOV,Bellevue,5944.0
None/Home,SOV,Bothell Canyon Park,322.0
None/Home,SOV,Bremerton,1085.0
None/Home,SOV,Burien,1971.0
None/Home,SOV,Cascade,639.0
None/Home,SOV,Duwamish,709.0
None/Home,SOV,Everett,2922.0
None/Home,SOV,Frederickson,326.0
None/Home,SOV,Kent,643.0
None/Home,SOV,Kent MIC,107.0
None/Home,SOV,Kirkland Totem Lake,3769.0
None/Home,SOV,Lakewood,1214.0
None/Home,SOV,Lynnwood,1964.0
None/Home,SOV,North Tukwila,12.0
None/Home,SOV,Not in RGC,2311706.0
None/Home,SOV,Paine Field / Boeing Everett,278.0
None/Home,SOV,Puget Sound Industrial Center- Bremerton,23.0
None/Home,SOV,Puyallup Downtown,685.0
None/Home,SOV,Puyallup South Hill,839.0
None/Home,SOV,Redmond Downtown,4184.0
None/Home,SOV,Redmond-Overlake,1325.0
None/Home,SOV,Renton,3521.0
None/Home,SOV,SeaTac,5266.0
None/Home,SOV,Seattle Downtown,8589.0
None/Home,SOV,Seattle First Hill/Capitol Hill,16682.0
None/Home,SOV,Seattle Northgate,4679.0
None/Home,SOV,Seattle South Lake Union,5346.0
None/Home,SOV,Seattle University Community,7309.0
None/Home,SOV,Seattle Uptown,5078.0
None/Home,SOV,Silverdale,1204.0
None/Home,SOV,Sumner Pacific,31.0
None/Home,SOV,Tacoma Downtown,5857.0
None/Home,SOV,Tacoma Mall,2496.0
None/Home,SOV,Tukwila,51.0
None/Home,SOV,University Place,3306.0
None/Home,HOV2,Auburn,470.0
None/Home,HOV2,Ballard-Interbay,120.0
None/Home,HOV2,Bellevue,3177.0
None/Home,HOV2,Bothell Canyon Park,139.0
None/Home,HOV2,Bremerton,682.0
None/Home,HOV2,Burien,1100.0
None/Home,HOV2,Cascade,471.0
None/Home,HOV2,Duwamish,307.0
None/Home,HOV2,Everett,1584.0
None/Home,HOV2,Frederickson,232.0
None/Home,HOV2,Kent,505.0
None/Home,HOV2,Kent MIC,96.0
None/Home,HOV2,Kirkland Totem Lake,1587.0
None/Home,HOV2,Lakewood,860.0
None/Home,HOV2,Lynnwood,1130.0
None/Home,HOV2,North Tukwila,9.0
None/Home,HOV2,Not in RGC,1371809.0
None/Home,HOV2,Paine Field / Boeing Everett,204.0
None/Home,HOV2,Port of Tacoma,2.0
None/Home,HOV2,Puget Sound Industrial Center- Bremerton,8.0
None/Home,HOV2,Puyallup Downtown,398.0
None/Home,HOV2,Puyallup South Hill,514.0
None/Home,HOV2,Redmond Downtown,1868.0
None/Home,HOV2,Redmond-Overlake,741.0
None/Home,HOV2,Renton,1615.0
None/Home,HOV2,SeaTac,3725.0
None/Home,HOV2,Seattle Downtown,4903.0
None/Home,HOV2,Seattle First Hill/Capitol Hill,8174.0
None/Home,HOV2,Seattle Northgate,2379.0
None/Home,HOV2,Seattle South Lake Union,2537.0
None/Home,HOV2,Seattle University Community,4214.0
None/Home,HOV2,Seattle Uptown,2171.0
None/Home,HOV2,Silverdale,558.0
None/Home,HOV2,Sumner Pacific,28.0
None/Home,HOV2,Tacoma Downtown,3459.0
None/Home,HOV2,Tacoma Mall,1490.0
None/Home,HOV2,Tukwila,37.0
None/Home,HOV2,University Place,1958.0
None/Home,HOV3+,Auburn,327.0
None/Home,HOV3+,Ballard-Interbay,43.0
None/Home,HOV3+,Bellevue,1719.0
None/Home,HOV3+,Bothell Canyon Park,105.0
None/Home,HOV3+,Bremerton,422.0
None/Home,HOV3+,Burien,710.0
None/Home,HOV3+,Cascade,384.0
None/Home,HOV3+,Duwamish,146.0
None/Home,HOV3+,Everett,953.0
None/Home,HOV3+,Frederickson,190.0
None/Home,HOV3+,Kent,375.0
None/Home,HOV3+,Kent MIC,72.0
None/Home,HOV3+,Kirkland Totem Lake,846.0
None/Home,HOV3+,Lakewood,631.0
None/Home,HOV3+,Lynnwood,844.0
None/Home,HOV3+,North Tukwila,10.0
None/Home,HOV3+,Not in RGC,1034043.0
None/Home,HOV3+,Paine Field / Boeing Everett,165.0
None/Home,HOV3+,Puyallup Downtown,251.0
None/Home,HOV3+,Puyallup South Hill,266.0
None/Home,HOV3+,Redmond Downtown,1127.0
None/Home,HOV3+,Redmond-Overlake,539.0
None/Home,HOV3+,Renton,1035.0
None/Home,HOV3+,SeaTac,3128.0
None/Home,HOV3+,Seattle Downtown,2153.0
None/Home,HOV3+,Seattle First Hill/Capitol Hill,3839.0
None/Home,HOV3+,Seattle Northgate,1308.0
None/Home,HOV3+,Seattle South Lake Union,1008.0
None/Home,HOV3+,Seattle University Community,2469.0
None/Home,HOV3+,Seattle Uptown,942.0
None/Home,HOV3+,Silverdale,312.0
None/Home,HOV3+,Sumner Pacific,19.0
None/Home,HOV3+,Tacoma Downtown,1917.0
None/Home,HOV3+,Tacoma Mall,944.0
None/Home,HOV3+,Tukwila,37.0
None/Home,HOV3+,University Place,1317.0
None/Home,Transit,Auburn,135.0
None/Home,Transit,Ballard-Interbay,40.0
None/Home,Transit,Bellevue,1059.0
None/Home,Transit,Bothell Canyon Park,6.0
None/Home,Transit,Bremerton,83.0
None/Home,Transit,Burien,309.0
None/Home,Transit,Cascade,3.0
None/Home,Transit,Duwamish,184.0
None/Home,Transit,Everett,175.0
None/Home,Transit,Kent,163.0
None/Home,Transit,Kent MIC,19.0
None/Home,Transit,Kirkland Totem Lake,241.0
None/Home,Transit,Lakewood,46.0
None/Home,Transit,Lynnwood,116.0
None/Home,Transit,North Tukwila,2.0
None/Home,Transit,Not in RGC,126261.0
None/Home,Transit,Paine Field / Boeing Everett,14.0
None/Home,Transit,Puyallup Downtown,70.0
None/Home,Transit,Puyallup South Hill,53.0
None/Home,Transit,Redmond Downtown,400.0
None/Home,Transit,Redmond-Overlake,116.0
None/Home,Transit,Renton,344.0
None/Home,Transit,SeaTac,1357.0
None/Home,Transit,Seattle Downtown,6050.0
None/Home,Transit,Seattle First Hill/Capitol Hill,9397.0
None/Home,Transit,Seattle Northgate,947.0
None/Home,Transit,Seattle South Lake Union,1740.0
None/Home,Transit,Seattle University Community,3229.0
None/Home,Transit,Seattle Uptown,1448.0
None/Home,Transit,Silverdale,12.0
None/Home,Transit,Sumner Pacific,2.0
None/Home,Transit,Tacoma Downtown,716.0
None/Home,Transit,Tacoma Mall,226.0
None/Home,Transit,Tukwila,21.0
None/Home,Transit,University Place,150.0
None/Home,School Bus,Auburn,38.0
None/Home,School Bus,Ballard-Interbay,2.0
None/Home,School Bus,Bellevue,216.0
None/Home,School Bus,Bothell Canyon Park,9.0
None/Home,School Bus,Bremerton,64.0
None/Home,School Bus,Burien,137.0
None/Home,School Bus,Cascade,70.0
None/Home,School Bus,Duwamish,17.0
None/Home,School Bus,Everett,151.0
None/Home,School Bus,Frederickson,51.0
None/Home,School Bus,Kent,70.0
None/Home,School Bus,Kent MIC,16.0
None/Home,School Bus,Kirkland Totem Lake,100.0
None/Home,School Bus,Lakewood,100.0
None/Home,School Bus,Lynnwood,131.0
None/Home,School Bus,North Tukwila,3.0
None/Home,School Bus,Not in RGC,145278.0
None/Home,School Bus,Paine Field / Boeing Everett,38.0
None/Home,School Bus,Puyallup Downtown,31.0
None/Home,School Bus,Puyallup South Hill,57.0
None/Home,School Bus,Redmond Downtown,144.0
None/Home,School Bus,Redmond-Overlake,81.0
None/Home,School Bus,Renton,161.0
None/Home,School Bus,SeaTac,404.0
None/Home,School Bus,Seattle Downtown,203.0
None/Home,School Bus,Seattle First Hill/Capitol Hill,488.0
None/Home,School Bus,Seattle Northgate,166.0
None/Home,School Bus,Seattle South Lake Union,70.0
None/Home,School Bus,Seattle University Community,380.0
None/Home,School Bus,Seattle Uptown,89.0
None/Home,School Bus,Silverdale,65.0
None/Home,School Bus,Sumner Pacific,6.0
None/Home,School Bus,Tacoma Downtown,244.0
None/Home,School Bus,Tacoma Mall,117.0
None/Home,School Bus,Tukwila,3.0
None/Home,School Bus,University Place,233.0
None/Home,TNC,Auburn,19.0
None/Home,TNC,Ballard-Interbay,7.0
None/Home,TNC,Bellevue,204.0
None/Home,TNC,Bothell Canyon Park,3.0
None/Home,TNC,Bremerton,30.0
None/Home,TNC,Burien,35.0
None/Home,TNC,Cascade,8.0
None/Home,TNC,Duwamish,8.0
None/Home,TNC,Everett,108.0
None/Home,TNC,Frederickson,4.0
None/Home,TNC,Kent,26.0
None/Home,TNC,Kent MIC,2.0
None/Home,TNC,Kirkland Totem Lake,43.0
None/Home,TNC,Lakewood,27.0
None/Home,TNC,Lynnwood,51.0
None/Home,TNC,Not in RGC,28280.0
None/Home,TNC,Paine Field / Boeing Everett,4.0
None/Home,TNC,Puyallup Downtown,10.0
None/Home,TNC,Puyallup South Hill,20.0
None/Home,TNC,Redmond Downtown,68.0
None/Home,TNC,Redmond-Overlake,20.0
None/Home,TNC,Renton,52.0
None/Home,TNC,SeaTac,81.0
None/Home,TNC,Seattle Downtown,1480.0
None/Home,TNC,Seattle First Hill/Capitol Hill,1688.0
None/Home,TNC,Seattle Northgate,126.0
None/Home,TNC,Seattle South Lake Union,413.0
None/Home,TNC,Seattle University Community,378.0
None/Home,TNC,Seattle Uptown,201.0
None/Home,TNC,Silverdale,31.0
None/Home,TNC,Sumner Pacific,2.0
None/Home,TNC,Tacoma Downtown,257.0
None/Home,TNC,Tacoma Mall,52.0
None/Home,TNC,Tukwila,2.0
None/Home,TNC,University Place,64.0
Work,Walk,Auburn,103.0
Work,Walk,Ballard-Interbay,62.0
Work,Walk,Bellevue,6303.0
Work,Walk,Bothell Canyon Park,19.0
Work,Walk,Bremerton,479.0
Work,Walk,Burien,192.0
Work,Walk,Cascade,39.0
Work,Walk,Duwamish,124.0
Work,Walk,Everett,1031.0
Work,Walk,Frederickson,5.0
Work,Walk,Kent,106.0
Work,Walk,Kent MIC,7.0
Work,Walk,Kirkland Totem Lake,322.0
Work,Walk,Lakewood,93.0
Work,Walk,Lynnwood,196.0
Work,Walk,North Tukwila,1.0
Work,Walk,Not in RGC,152520.0
Work,Walk,Paine Field / Boeing Everett,18.0
Work,Walk,Port of Tacoma,1.0
Work,Walk,Puget Sound Industrial Center- Bremerton,2.0
Work,Walk,Puyallup Downtown,104.0
Work,Walk,Puyallup South Hill,61.0
Work,Walk,Redmond Downtown,1099.0
Work,Walk,Redmond-Overlake,333.0
Work,Walk,Renton,427.0
Work,Walk,SeaTac,737.0
Work,Walk,Seattle Downtown,27148.0
Work,Walk,Seattle First Hill/Capitol Hill,26774.0
Work,Walk,Seattle Northgate,819.0
Work,Walk,Seattle South Lake Union,8818.0
Work,Walk,Seattle University Community,3581.0
Work,Walk,Seattle Uptown,5006.0
Work,Walk,Silverdale,260.0
Work,Walk,Sumner Pacific,1.0
Work,Walk,Tacoma Downtown,2489.0
Work,Walk,Tacoma Mall,443.0
Work,Walk,Tukwila,17.0
Work,Walk,University Place,217.0
Work,Bike,Auburn,8.0
Work,Bike,Ballard-Interbay,18.0
Work,Bike,Bellevue,209.0
Work,Bike,Bothell Canyon Park,7.0
Work,Bike,Bremerton,38.0
Work,Bike,Burien,45.0
Work,Bike,Cascade,12.0
Work,Bike,Duwamish,13.0
Work,Bike,Everett,85.0
Work,Bike,Frederickson,2.0
Work,Bike,Kent,25.0
Work,Bike,Kent MIC,1.0
Work,Bike,Kirkland Totem Lake,84.0
Work,Bike,Lakewood,22.0
Work,Bike,Lynnwood,37.0
Work,Bike,Not in RGC,25197.0
Work,Bike,Paine Field / Boeing Everett,5.0
Work,Bike,Puyallup Downtown,16.0
Work,Bike,Puyallup South Hill,10.0
Work,Bike,Redmond Downtown,122.0
Work,Bike,Redmond-Overlake,33.0
Work,Bike,Renton,93.0
Work,Bike,SeaTac,95.0
Work,Bike,Seattle Downtown,657.0
Work,Bike,Seattle First Hill/Capitol Hill,1068.0
Work,Bike,Seattle Northgate,164.0
Work,Bike,Seattle South Lake Union,370.0
Work,Bike,Seattle University Community,420.0
Work,Bike,Seattle Uptown,348.0
Work,Bike,Silverdale,17.0
Work,Bike,Tacoma Downtown,244.0
Work,Bike,Tacoma Mall,79.0
Work,Bike,Tukwila,2.0
Work,Bike,University Place,60.0
Work,SOV,Auburn,361.0
Work,SOV,Ballard-Interbay,204.0
Work,SOV,Bellevue,4613.0
Work,SOV,Bothell Canyon Park,245.0
Work,SOV,Bremerton,687.0
Work,SOV,Burien,1580.0
Work,SOV,Cascade,437.0
Work,SOV,Duwamish,511.0
Work,SOV,Everett,2135.0
Work,SOV,Frederickson,208.0
Work,SOV,Kent,311.0
Work,SOV,Kent MIC,62.0
Work,SOV,Kirkland Totem Lake,2749.0
Work,SOV,Lakewood,649.0
Work,SOV,Lynnwood,1433.0
Work,SOV,North Tukwila,8.0
Work,SOV,Not in RGC,1502253.0
Work,SOV,Paine Field / Boeing Everett,204.0
Work,SOV,Puget Sound Industrial Center- Bremerton,12.0
Work,SOV,Puyallup Downtown,385.0
Work,SOV,Puyallup South Hill,483.0
Work,SOV,Redmond Downtown,3329.0
Work,SOV,Redmond-Overlake,1074.0
Work,SOV,Renton,2690.0
Work,SOV,SeaTac,3666.0
Work,SOV,Seattle Downtown,6733.0
Work,SOV,Seattle First Hill/Capitol Hill,12989.0
Work,SOV,Seattle Northgate,3021.0
Work,SOV,Seattle South Lake Union,4150.0
Work,SOV,Seattle University Community,6208.0
Work,SOV,Seattle Uptown,4071.0
Work,SOV,Silverdale,809.0
Work,SOV,Sumner Pacific,16.0
Work,SOV,Tacoma Downtown,4040.0
Work,SOV,Tacoma Mall,1684.0
Work,SOV,Tukwila,46.0
Work,SOV,University Place,2211.0
Work,HOV2,Auburn,78.0
Work,HOV2,Ballard-Interbay,34.0
Work,HOV2,Bellevue,807.0
Work,HOV2,Bothell Canyon Park,39.0
Work,HOV2,Bremerton,131.0
Work,HOV2,Burien,283.0
Work,HOV2,Cascade,85.0
Work,HOV2,Duwamish,71.0
Work,HOV2,Everett,367.0
Work,HOV2,Frederickson,36.0
Work,HOV2,Kent,74.0
Work,HOV2,Kent MIC,14.0
Work,HOV2,Kirkland Totem Lake,393.0
Work,HOV2,Lakewood,127.0
Work,HOV2,Lynnwood,275.0
Work,HOV2,Not in RGC,237989.0
Work,HOV2,Paine Field / Boeing Everett,40.0
Work,HOV2,Port of Tacoma,2.0
Work,HOV2,Puget Sound Industrial Center- Bremerton,1.0
Work,HOV2,Puyallup Downtown,63.0
Work,HOV2,Puyallup South Hill,98.0
Work,HOV2,Redmond Downtown,519.0
Work,HOV2,Redmond-Overlake,146.0
Work,HOV2,Renton,405.0
Work,HOV2,SeaTac,731.0
Work,HOV2,Seattle Downtown,1450.0
Work,HOV2,Seattle First Hill/Capitol Hill,2642.0
Work,HOV2,Seattle Northgate,583.0
Work,HOV2,Seattle South Lake Union,749.0
Work,HOV2,Seattle University Community,1278.0
Work,HOV2,Seattle Uptown,692.0
Work,HOV2,Silverdale,123.0
Work,HOV2,Sumner Pacific,2.0
Work,HOV2,Tacoma Downtown,709.0
Work,HOV2,Tacoma Mall,336.0
Work,HOV2,Tukwila,19.0
Work,HOV2,University Place,307.0
Work,HOV3+,Auburn,36.0
Work,HOV3+,Ballard-Interbay,15.0
Work,HOV3+,Bellevue,352.0
Work,HOV3+,Bothell Canyon Park,27.0
Work,HOV3+,Bremerton,73.0
Work,HOV3+,Burien,111.0
Work,HOV3+,Cascade,35.0
Work,HOV3+,Duwamish,30.0
Work,HOV3+,Everett,147.0
Work,HOV3+,Frederickson,12.0
Work,HOV3+,Kent,56.0
Work,HOV3+,Kent MIC,7.0
Work,HOV3+,Kirkland Totem Lake,183.0
Work,HOV3+,Lakewood,53.0
Work,HOV3+,Lynnwood,107.0
Work,HOV3+,Not in RGC,111735.0
Work,HOV3+,Paine Field / Boeing Everett,21.0
Work,HOV3+,Puget Sound Industrial Center- Bremerton,1.0
Work,HOV3+,Puyallup Downtown,30.0
Work,HOV3+,Puyallup South Hill,34.0
Work,HOV3+,Redmond Downtown,201.0
Work,HOV3+,Redmond-Overlake,80.0
Work,HOV3+,Renton,146.0
Work,HOV3+,SeaTac,334.0
Work,HOV3+,Seattle Downtown,556.0
Work,HOV3+,Seattle First Hill/Capitol Hill,990.0
Work,HOV3+,Seattle Northgate,225.0
Work,HOV3+,Seattle South Lake Union,270.0
Work,HOV3+,Seattle University Community,543.0
Work,HOV3+,Seattle Uptown,231.0
Work,HOV3+,Silverdale,56.0
Work,HOV3+,Sumner Pacific,2.0
Work,HOV3+,Tacoma Downtown,325.0
Work,HOV3+,Tacoma Mall,158.0
Work,HOV3+,Tukwila,5.0
Work,HOV3+,University Place,125.0
Work,Transit,Auburn,156.0
Work,Transit,Ballard-Interbay,38.0
Work,Transit,Bellevue,751.0
Work,Transit,Bothell Canyon Park,13.0
Work,Transit,Bremerton,106.0
Work,Transit,Burien,198.0
Work,Transit,Cascade,15.0
Work,Transit,Duwamish,84.0
Work,Transit,Everett,195.0
Work,Transit,Frederickson,7.0
Work,Transit,Kent,147.0
Work,Transit,Kent MIC,16.0
Work,Transit,Kirkland Totem Lake,204.0
Work,Transit,Lakewood,59.0
Work,Transit,Lynnwood,115.0
Work,Transit,Not in RGC,134296.0
Work,Transit,Paine Field / Boeing Everett,13.0
Work,Transit,Port of Tacoma,1.0
Work,Transit,Puyallup Downtown,77.0
Work,Transit,Puyallup South Hill,79.0
Work,Transit,Redmond Downtown,361.0
Work,Transit,Redmond-Overlake,104.0
Work,Transit,Renton,204.0
Work,Transit,SeaTac,1098.0
Work,Transit,Seattle Downtown,2612.0
Work,Transit,Seattle First Hill/Capitol Hill,5938.0
Work,Transit,Seattle Northgate,609.0
Work,Transit,Seattle South Lake Union,941.0
Work,Transit,Seattle University Community,1833.0
Work,Transit,Seattle Uptown,940.0
Work,Transit,Silverdale,19.0
Work,Transit,Sumner Pacific,2.0
Work,Transit,Tacoma Downtown,658.0
Work,Transit,Tacoma Mall,255.0
Work,Transit,Tukwila,25.0
Work,Transit,University Place,158.0
Work,School Bus,Everett,1.0
Work,School Bus,Lakewood,1.0
Work,School Bus,Not in RGC,75.0
Work,School Bus,Redmond-Overlake,1.0
Work,School Bus,Seattle Downtown,1.0
Work,School Bus,Seattle University Community,1.0
Work,School Bus,Seattle Uptown,2.0
Work,TNC,Auburn,17.0
Work,TNC,Ballard-Interbay,17.0
Work,TNC,Bellevue,429.0
Work,TNC,Bothell Canyon Park,7.0
Work,TNC,Bremerton,37.0
Work,TNC,Burien,44.0
Work,TNC,Cascade,9.0
Work,TNC,Duwamish,28.0
Work,TNC,Everett,60.0
Work,TNC,Frederickson,5.0
Work,TNC,Kent,18.0
Work,TNC,Kent MIC,2.0
Work,TNC,Kirkland Totem Lake,107.0
Work,TNC,Lakewood,13.0
Work,TNC,Lynnwood,39.0
Work,TNC,Not in RGC,54956.0
Work,TNC,Paine Field / Boeing Everett,3.0
Work,TNC,Puyallup Downtown,10.0
Work,TNC,Puyallup South Hill,20.0
Work,TNC,Redmond Downtown,184.0
Work,TNC,Redmond-Overlake,46.0
Work,TNC,Renton,75.0
Work,TNC,SeaTac,160.0
Work,TNC,Seattle Downtown,1598.0
Work,TNC,Seattle First Hill/Capitol Hill,2191.0
Work,TNC,Seattle Northgate,141.0
Work,TNC,Seattle South Lake Union,682.0
Work,TNC,Seattle University Community,356.0
Work,TNC,Seattle Uptown,426.0
Work,TNC,Silverdale,21.0
Work,TNC,Sumner Pacific,1.0
Work,TNC,Tacoma Downtown,224.0
Work,TNC,Tacoma Mall,49.0
Work,TNC,Tukwila,12.0
Work,TNC,University Place,52.0
School,Walk,Auburn,55.0
School,Walk,Ballard-Interbay,6.0
School,Walk,Bellevue,457.0
School,Walk,Bothell Canyon Park,9.0
School,Walk,Bremerton,98.0
School,Walk,Burien,85.0
School,Walk,Cascade,25.0
School,Walk,Duwamish,16.0
School,Walk,Everett,201.0
School,Walk,Frederickson,8.0
School,Walk,Kent,47.0
School,Walk,Kent MIC,6.0
School,Walk,Kirkland Totem Lake,122.0
School,Walk,Lakewood,72.0
School,Walk,Lynnwood,86.0
School,Walk,North Tukwila,1.0
School,Walk,Not in RGC,80481.0
School,Walk,Paine Field / Boeing Everett,11.0
School,Walk,Puyallup Downtown,57.0
School,Walk,Puyallup South Hill,25.0
School,Walk,Redmond Downtown,171.0
School,Walk,Redmond-Overlake,102.0
School,Walk,Renton,144.0
School,Walk,SeaTac,271.0
School,Walk,Seattle Downtown,1002.0
School,Walk,Seattle First Hill/Capitol Hill,2414.0
School,Walk,Seattle Northgate,271.0
School,Walk,Seattle South Lake Union,322.0
School,Walk,Seattle University Community,3275.0
School,Walk,Seattle Uptown,205.0
