dpurp,mode,hh_rgc,trexpfac
School,Walk,Silverdale,39.0
School,Walk,Tacoma Downtown,687.0
School,Walk,Tacoma Mall,112.0
School,Walk,Tukwila,5.0
School,Walk,University Place,177.0
School,Bike,Auburn,8.0
School,Bike,Ballard-Interbay,2.0
School,Bike,Bellevue,58.0
School,Bike,Bothell Canyon Park,7.0
School,Bike,Bremerton,23.0
School,Bike,Burien,23.0
School,Bike,Cascade,9.0
School,Bike,Duwamish,5.0
School,Bike,Everett,60.0
School,Bike,Frederickson,3.0
School,Bike,Kent,10.0
School,Bike,Kent MIC,6.0
School,Bike,Kirkland Totem Lake,55.0
School,Bike,Lakewood,18.0
School,Bike,Lynnwood,37.0
School,Bike,Not in RGC,23648.0
School,Bike,Paine Field / Boeing Everett,2.0
School,Bike,Puyallup Downtown,11.0
School,Bike,Puyallup South Hill,15.0
School,Bike,Redmond Downtown,45.0
School,Bike,Redmond-Overlake,12.0
School,Bike,Renton,36.0
School,Bike,SeaTac,71.0
School,Bike,Seattle Downtown,182.0
School,Bike,Seattle First Hill/Capitol Hill,428.0
School,Bike,Seattle Northgate,103.0
School,Bike,Seattle South Lake Union,120.0
School,Bike,Seattle University Community,1680.0
School,Bike,Seattle Uptown,70.0
School,Bike,Silverdale,10.0
School,Bike,Tacoma Downtown,149.0
School,Bike,Tacoma Mall,48.0
School,Bike,Tukwila,1.0
School,Bike,University Place,64.0
School,SOV,Auburn,17.0
School,SOV,Ballard-Interbay,4.0
School,SOV,Bellevue,193.0
School,SOV,Bothell Canyon Park,13.0
School,SOV,Bremerton,46.0
School,SOV,Burien,27.0
School,SOV,Cascade,15.0
School,SOV,Duwamish,3.0
School,SOV,Everett,67.0
School,SOV,Frederickson,17.0
School,SOV,Kent,19.0
School,SOV,Kent MIC,2.0
School,SOV,Kirkland Totem Lake,167.0
School,SOV,Lakewood,32.0
School,SOV,Lynnwood,80.0
School,SOV,Not in RGC,73446.0
School,SOV,Paine Field / Boeing Everett,12.0
School,SOV,Puget Sound Industrial Center- Bremerton,1.0
School,SOV,Puyallup Downtown,18.0
School,SOV,Puyallup South Hill,48.0
School,SOV,Redmond Downtown,144.0
School,SOV,Redmond-Overlake,16.0
School,SOV,Renton,99.0
School,SOV,SeaTac,74.0
School,SOV,Seattle Downtown,163.0
School,SOV,Seattle First Hill/Capitol Hill,331.0
School,SOV,Seattle Northgate,194.0
School,SOV,Seattle South Lake Union,125.0
School,SOV,Seattle University Community,523.0
School,SOV,Seattle Uptown,90.0
School,SOV,Silverdale,78.0
School,SOV,Sumner Pacific,2.0
School,SOV,Tacoma Downtown,141.0
School,SOV,Tacoma Mall,153.0
School,SOV,University Place,129.0
School,HOV2,Auburn,54.0
School,HOV2,Ballard-Interbay,2.0
School,HOV2,Bellevue,233.0
School,HOV2,Bothell Canyon Park,13.0
School,HOV2,Bremerton,65.0
School,HOV2,Burien,161.0
School,HOV2,Cascade,75.0
School,HOV2,Duwamish,19.0
School,HOV2,Everett,146.0
School,HOV2,Frederickson,40.0
School,HOV2,Kent,89.0
School,HOV2,Kent MIC,11.0
School,HOV2,Kirkland Totem Lake,153.0
School,HOV2,Lakewood,125.0
School,HOV2,Lynnwood,200.0
School,HOV2,North Tukwila,1.0
School,HOV2,Not in RGC,190985.0
School,HOV2,Paine Field / Boeing Everett,31.0
School,HOV2,Puyallup Downtown,42.0
School,HOV2,Puyallup South Hill,87.0
School,HOV2,Redmond Downtown,204.0
School,HOV2,Redmond-Overlake,108.0
School,HOV2,Renton,189.0
School,HOV2,SeaTac,553.0
School,HOV2,Seattle Downtown,200.0
School,HOV2,Seattle First Hill/Capitol Hill,463.0
School,HOV2,Seattle Northgate,224.0
School,HOV2,Seattle South Lake Union,96.0
School,HOV2,Seattle University Community,537.0
School,HOV2,Seattle Uptown,99.0
School,HOV2,Silverdale,88.0
School,HOV2,Sumner Pacific,6.0
School,HOV2,Tacoma Downtown,263.0
School,HOV2,Tacoma Mall,177.0
School,HOV2,Tukwila,8.0
School,HOV2,University Place,311.0
School,HOV3+,Auburn,61.0
School,HOV3+,Ballard-Interbay,4.0
School,HOV3+,Bellevue,275.0
School,HOV3+,Bothell Canyon Park,24.0
School,HOV3+,Bremerton,60.0
School,HOV3+,Burien,181.0
School,HOV3+,Cascade,78.0
School,HOV3+,Duwamish,13.0
School,HOV3+,Everett,171.0
School,HOV3+,Frederickson,49.0
School,HOV3+,Kent,76.0
School,HOV3+,Kent MIC,13.0
School,HOV3+,Kirkland Totem Lake,128.0
School,HOV3+,Lakewood,122.0
School,HOV3+,Lynnwood,190.0
School,HOV3+,North Tukwila,5.0
School,HOV3+,Not in RGC,201754.0
School,HOV3+,Paine Field / Boeing Everett,41.0
School,HOV3+,Puyallup Downtown,39.0
School,HOV3+,Puyallup South Hill,68.0
School,HOV3+,Redmond Downtown,203.0
School,HOV3+,Redmond-Overlake,103.0
School,HOV3+,Renton,172.0
School,HOV3+,SeaTac,554.0
School,HOV3+,Seattle Downtown,225.0
School,HOV3+,Seattle First Hill/Capitol Hill,485.0
School,HOV3+,Seattle Northgate,206.0
School,HOV3+,Seattle South Lake Union,108.0
School,HOV3+,Seattle University Community,484.0
School,HOV3+,Seattle Uptown,145.0
School,HOV3+,Silverdale,60.0
School,HOV3+,Sumner Pacific,2.0
School,HOV3+,Tacoma Downtown,294.0
School,HOV3+,Tacoma Mall,165.0
School,HOV3+,Tukwila,9.0
School,HOV3+,University Place,285.0
School,Transit,Auburn,2.0
School,Transit,Ballard-Interbay,6.0
School,Transit,Bellevue,113.0
School,Transit,Bothell Canyon Park,1.0
School,Transit,Bremerton,20.0
School,Transit,Burien,35.0
School,Transit,Cascade,5.0
School,Transit,Duwamish,49.0
School,Transit,Everett,35.0
School,Transit,Kent,12.0
School,Transit,Kirkland Totem Lake,48.0
School,Transit,Lakewood,8.0
School,Transit,Lynnwood,38.0
School,Transit,Not in RGC,23035.0
School,Transit,Paine Field / Boeing Everett,4.0
School,Transit,Puyallup Downtown,9.0
School,Transit,Puyallup South Hill,9.0
School,Transit,Redmond Downtown,36.0
School,Transit,Redmond-Overlake,1.0
School,Transit,Renton,41.0
School,Transit,SeaTac,130.0
School,Transit,Seattle Downtown,899.0
School,Transit,Seattle First Hill/Capitol Hill,1260.0
School,Transit,Seattle Northgate,144.0
School,Transit,Seattle South Lake Union,234.0
School,Transit,Seattle University Community,1052.0
School,Transit,Seattle Uptown,130.0
School,Transit,Silverdale,14.0
School,Transit,Tacoma Downtown,166.0
School,Transit,Tacoma Mall,59.0
School,Transit,University Place,52.0
School,School Bus,Auburn,43.0
School,School Bus,Ballard-Interbay,2.0
School,School Bus,Bellevue,218.0
School,School Bus,Bothell Canyon Park,11.0
School,School Bus,Bremerton,62.0
School,School Bus,Burien,139.0
School,School Bus,Cascade,74.0
School,School Bus,Duwamish,11.0
School,School Bus,Everett,163.0
School,School Bus,Frederickson,44.0
School,School Bus,Kent,75.0
School,School Bus,Kent MIC,16.0
School,School Bus,Kirkland Totem Lake,104.0
School,School Bus,Lakewood,106.0
School,School Bus,Lynnwood,137.0
School,School Bus,North Tukwila,2.0
School,School Bus,Not in RGC,146364.0
School,School Bus,Paine Field / Boeing Everett,37.0
School,School Bus,Puyallup Downtown,29.0
School,School Bus,Puyallup South Hill,51.0
School,School Bus,Redmond Downtown,126.0
School,School Bus,Redmond-Overlake,80.0
School,School Bus,Renton,144.0
School,School Bus,SeaTac,410.0
School,School Bus,Seattle Downtown,212.0
School,School Bus,Seattle First Hill/Capitol Hill,488.0
School,School Bus,Seattle Northgate,172.0
School,School Bus,Seattle South Lake Union,72.0
School,School Bus,Seattle University Community,376.0
School,School Bus,Seattle Uptown,95.0
School,School Bus,Silverdale,62.0
School,School Bus,Sumner Pacific,5.0
School,School Bus,Tacoma Downtown,243.0
School,School Bus,Tacoma Mall,118.0
School,School Bus,Tukwila,4.0
School,School Bus,University Place,221.0
School,TNC,Auburn,4.0
School,TNC,Bellevue,31.0
School,TNC,Bothell Canyon Park,1.0
School,TNC,Bremerton,16.0
School,TNC,Burien,21.0
School,TNC,Cascade,5.0
School,TNC,Duwamish,1.0
School,TNC,Everett,26.0
School,TNC,Frederickson,6.0
School,TNC,Kent,9.0
School,TNC,Kent MIC,3.0
School,TNC,Kirkland Totem Lake,12.0
School,TNC,Lakewood,11.0
School,TNC,Lynnwood,25.0
School,TNC,Not in RGC,14475.0
School,TNC,Paine Field / Boeing Everett,4.0
School,TNC,Puyallup Downtown,3.0
School,TNC,Puyallup South Hill,8.0
School,TNC,Redmond Downtown,11.0
School,TNC,Redmond-Overlake,5.0
School,TNC,Renton,9.0
School,TNC,SeaTac,47.0
School,TNC,Seattle Downtown,66.0
School,TNC,Seattle First Hill/Capitol Hill,134.0
School,TNC,Seattle Northgate,36.0
School,TNC,Seattle South Lake Union,21.0
School,TNC,Seattle University Community,153.0
School,TNC,Seattle Uptown,26.0
School,TNC,Silverdale,14.0
School,TNC,Tacoma Downtown,54.0
School,TNC,Tacoma Mall,24.0
School,TNC,University Place,27.0
Escort,Walk,Auburn,92.0
Escort,Walk,Ballard-Interbay,23.0
Escort,Walk,Bellevue,1155.0
Escort,Walk,Bothell Canyon Park,10.0
Escort,Walk,Bremerton,149.0
Escort,Walk,Burien,68.0
Escort,Walk,Cascade,32.0
Escort,Walk,Duwamish,32.0
Escort,Walk,Everett,426.0
Escort,Walk,Frederickson,8.0
Escort,Walk,Kent,80.0
Escort,Walk,Kent MIC,18.0
Escort,Walk,Kirkland Totem Lake,119.0
Escort,Walk,Lakewood,93.0
Escort,Walk,Lynnwood,120.0
Escort,Walk,Not in RGC,87709.0
Escort,Walk,Paine Field / Boeing Everett,13.0
Escort,Walk,Puyallup Downtown,65.0
Escort,Walk,Puyallup South Hill,43.0
Escort,Walk,Redmond Downtown,356.0
Escort,Walk,Redmond-Overlake,176.0
Escort,Walk,Renton,217.0
Escort,Walk,SeaTac,335.0
Escort,Walk,Seattle Downtown,3310.0
Escort,Walk,Seattle First Hill/Capitol Hill,3767.0
Escort,Walk,Seattle Northgate,277.0
Escort,Walk,Seattle South Lake Union,1131.0
Escort,Walk,Seattle University Community,947.0
Escort,Walk,Seattle Uptown,703.0
Escort,Walk,Silverdale,75.0
Escort,Walk,Sumner Pacific,4.0
Escort,Walk,Tacoma Downtown,916.0
Escort,Walk,Tacoma Mall,224.0
Escort,Walk,Tukwila,5.0
Escort,Walk,University Place,188.0
Escort,Bike,Auburn,15.0
Escort,Bike,Ballard-Interbay,3.0
Escort,Bike,Bellevue,78.0
Escort,Bike,Bothell Canyon Park,3.0
Escort,Bike,Bremerton,15.0
Escort,Bike,Burien,34.0
Escort,Bike,Cascade,5.0
Escort,Bike,Duwamish,6.0
Escort,Bike,Everett,43.0
Escort,Bike,Frederickson,4.0
Escort,Bike,Kent,29.0
Escort,Bike,Kent MIC,2.0
Escort,Bike,Kirkland Totem Lake,38.0
Escort,Bike,Lakewood,22.0
Escort,Bike,Lynnwood,32.0
Escort,Bike,Not in RGC,26751.0
Escort,Bike,Paine Field / Boeing Everett,1.0
Escort,Bike,Puyallup Downtown,11.0
Escort,Bike,Puyallup South Hill,20.0
Escort,Bike,Redmond Downtown,46.0
Escort,Bike,Redmond-Overlake,20.0
Escort,Bike,Renton,60.0
Escort,Bike,SeaTac,98.0
Escort,Bike,Seattle Downtown,249.0
Escort,Bike,Seattle First Hill/Capitol Hill,380.0
Escort,Bike,Seattle Northgate,92.0
Escort,Bike,Seattle South Lake Union,101.0
Escort,Bike,Seattle University Community,219.0
Escort,Bike,Seattle Uptown,107.0
Escort,Bike,Silverdale,7.0
Escort,Bike,Tacoma Downtown,134.0
Escort,Bike,Tacoma Mall,35.0
Escort,Bike,Tukwila,3.0
Escort,Bike,University Place,50.0
Escort,SOV,Auburn,120.0
Escort,SOV,Ballard-Interbay,20.0
Escort,SOV,Bellevue,718.0
Escort,SOV,Bothell Canyon Park,40.0
Escort,SOV,Bremerton,151.0
Escort,SOV,Burien,296.0
Escort,SOV,Cascade,166.0
Escort,SOV,Duwamish,64.0
Escort,SOV,Everett,366.0
Escort,SOV,Frederickson,76.0
Escort,SOV,Kent,103.0
Escort,SOV,Kent MIC,28.0
Escort,SOV,Kirkland Totem Lake,446.0
Escort,SOV,Lakewood,242.0
Escort,SOV,Lynnwood,293.0
Escort,SOV,North Tukwila,2.0
Escort,SOV,Not in RGC,397227.0
Escort,SOV,Paine Field / Boeing Everett,48.0
Escort,SOV,Puget Sound Industrial Center- Bremerton,5.0
Escort,SOV,Puyallup Downtown,107.0
Escort,SOV,Puyallup South Hill,128.0
Escort,SOV,Redmond Downtown,518.0
Escort,SOV,Redmond-Overlake,212.0
Escort,SOV,Renton,446.0
Escort,SOV,SeaTac,1148.0
Escort,SOV,Seattle Downtown,916.0
Escort,SOV,Seattle First Hill/Capitol Hill,1668.0
Escort,SOV,Seattle Northgate,543.0
Escort,SOV,Seattle South Lake Union,520.0
Escort,SOV,Seattle University Community,683.0
Escort,SOV,Seattle Uptown,473.0
Escort,SOV,Silverdale,154.0
Escort,SOV,Sumner Pacific,6.0
Escort,SOV,Tacoma Downtown,652.0
Escort,SOV,Tacoma Mall,380.0
Escort,SOV,Tukwila,19.0
Escort,SOV,University Place,528.0
Escort,HOV2,Auburn,122.0
Escort,HOV2,Ballard-Interbay,24.0
Escort,HOV2,Bellevue,898.0
Escort,HOV2,Bothell Canyon Park,52.0
Escort,HOV2,Bremerton,173.0
Escort,HOV2,Burien,266.0
Escort,HOV2,Cascade,135.0
Escort,HOV2,Duwamish,82.0
Escort,HOV2,Everett,412.0
Escort,HOV2,Frederickson,58.0
Escort,HOV2,Kent,136.0
Escort,HOV2,Kent MIC,23.0
Escort,HOV2,Kirkland Totem Lake,393.0
Escort,HOV2,Lakewood,286.0
Escort,HOV2,Lynnwood,318.0
Escort,HOV2,North Tukwila,3.0
Escort,HOV2,Not in RGC,398671.0
Escort,HOV2,Paine Field / Boeing Everett,42.0
Escort,HOV2,Puget Sound Industrial Center- Bremerton,2.0
Escort,HOV2,Puyallup Downtown,100.0
Escort,HOV2,Puyallup South Hill,123.0
Escort,HOV2,Redmond Downtown,486.0
Escort,HOV2,Redmond-Overlake,241.0
Escort,HOV2,Renton,474.0
Escort,HOV2,SeaTac,1108.0
Escort,HOV2,Seattle Downtown,1398.0
Escort,HOV2,Seattle First Hill/Capitol Hill,2299.0
Escort,HOV2,Seattle Northgate,559.0
Escort,HOV2,Seattle South Lake Union,617.0
Escort,HOV2,Seattle University Community,900.0
Escort,HOV2,Seattle Uptown,578.0
Escort,HOV2,Silverdale,163.0
Escort,HOV2,Sumner Pacific,4.0
Escort,HOV2,Tacoma Downtown,785.0
Escort,HOV2,Tacoma Mall,435.0
Escort,HOV2,Tukwila,7.0
Escort,HOV2,University Place,535.0
Escort,HOV3+,Auburn,90.0
Escort,HOV3+,Ballard-Interbay,17.0
Escort,HOV3+,Bellevue,474.0
Escort,HOV3+,Bothell Canyon Park,47.0
Escort,HOV3+,Bremerton,121.0
Escort,HOV3+,Burien,218.0
Escort,HOV3+,Cascade,113.0
Escort,HOV3+,Duwamish,31.0
Escort,HOV3+,Everett,215.0
Escort,HOV3+,Frederickson,55.0
Escort,HOV3+,Kent,136.0
Escort,HOV3+,Kent MIC,27.0
Escort,HOV3+,Kirkland Totem Lake,229.0
Escort,HOV3+,Lakewood,228.0
Escort,HOV3+,Lynnwood,236.0
Escort,HOV3+,North Tukwila,1.0
Escort,HOV3+,Not in RGC,310011.0
Escort,HOV3+,Paine Field / Boeing Everett,60.0
Escort,HOV3+,Puget Sound Industrial Center- Bremerton,1.0
Escort,HOV3+,Puyallup Downtown,79.0
Escort,HOV3+,Puyallup South Hill,70.0
Escort,HOV3+,Redmond Downtown,299.0
Escort,HOV3+,Redmond-Overlake,152.0
Escort,HOV3+,Renton,294.0
Escort,HOV3+,SeaTac,1152.0
Escort,HOV3+,Seattle Downtown,659.0
Escort,HOV3+,Seattle First Hill/Capitol Hill,1017.0
Escort,HOV3+,Seattle Northgate,353.0
Escort,HOV3+,Seattle South Lake Union,281.0
Escort,HOV3+,Seattle University Community,448.0
Escort,HOV3+,Seattle Uptown,278.0
Escort,HOV3+,Silverdale,90.0
Escort,HOV3+,Sumner Pacific,3.0
Escort,HOV3+,Tacoma Downtown,482.0
Escort,HOV3+,Tacoma Mall,265.0
Escort,HOV3+,Tukwila,12.0
Escort,HOV3+,University Place,393.0
Escort,Transit,Auburn,5.0
Escort,Transit,Ballard-Interbay,1.0
Escort,Transit,Bellevue,24.0
Escort,Transit,Bremerton,5.0
Escort,Transit,Burien,15.0
Escort,Transit,Cascade,1.0
Escort,Transit,Duwamish,3.0
Escort,Transit,Everett,4.0
Escort,Transit,Kent,10.0
Escort,Transit,Kent MIC,1.0
Escort,Transit,Kirkland Totem Lake,12.0
Escort,Transit,Lakewood,3.0
Escort,Transit,Lynnwood,7.0
Escort,Transit,Not in RGC,6758.0
Escort,Transit,Port of Tacoma,1.0
Escort,Transit,Puyallup Downtown,4.0
Escort,Transit,Puyallup South Hill,1.0
Escort,Transit,Redmond Downtown,14.0
Escort,Transit,Redmond-Overlake,2.0
Escort,Transit,Renton,10.0
Escort,Transit,SeaTac,88.0
Escort,Transit,Seattle Downtown,82.0
Escort,Transit,Seattle First Hill/Capitol Hill,184.0
Escort,Transit,Seattle Northgate,22.0
Escort,Transit,Seattle South Lake Union,41.0
Escort,Transit,Seattle University Community,73.0
Escort,Transit,Seattle Uptown,27.0
Escort,Transit,Silverdale,2.0
Escort,Transit,Tacoma Downtown,34.0
Escort,Transit,Tacoma Mall,14.0
Escort,Transit,Tukwila,2.0
Escort,Transit,University Place,9.0
Escort,School Bus,Bremerton,3.0
Escort,School Bus,Burien,6.0
Escort,School Bus,Cascade,2.0
Escort,School Bus,Everett,4.0
Escort,School Bus,Frederickson,1.0
Escort,School Bus,Kent,6.0
Escort,School Bus,Kirkland Totem Lake,2.0
Escort,School Bus,Lakewood,2.0
Escort,School Bus,Lynnwood,1.0
Escort,School Bus,Not in RGC,4010.0
Escort,School Bus,Paine Field / Boeing Everett,2.0
Escort,School Bus,Redmond Downtown,6.0
Escort,School Bus,Redmond-Overlake,8.0
Escort,School Bus,Renton,5.0
Escort,School Bus,SeaTac,11.0
Escort,School Bus,Seattle Downtown,9.0
Escort,School Bus,Seattle First Hill/Capitol Hill,12.0
Escort,School Bus,Seattle Northgate,3.0
Escort,School Bus,Seattle South Lake Union,1.0
Escort,School Bus,Seattle University Community,10.0
Escort,School Bus,Seattle Uptown,4.0
Escort,School Bus,Silverdale,1.0
Escort,School Bus,Tacoma Downtown,7.0
Escort,School Bus,Tacoma Mall,3.0
Escort,School Bus,University Place,6.0
Escort,TNC,Ballard-Interbay,1.0
Escort,TNC,Bellevue,11.0
Escort,TNC,Bremerton,3.0
Escort,TNC,Burien,5.0
Escort,TNC,Cascade,1.0
Escort,TNC,Kirkland Totem Lake,2.0
Escort,TNC,Lakewood,1.0
Escort,TNC,Lynnwood,2.0
Escort,TNC,Not in RGC,1695.0
Escort,TNC,Redmond Downtown,1.0
Escort,TNC,Renton,2.0
Escort,TNC,SeaTac,5.0
Escort,TNC,Seattle Downtown,29.0
Escort,TNC,Seattle First Hill/Capitol Hill,29.0
Escort,TNC,Seattle Northgate,4.0
Escort,TNC,Seattle South Lake Union,9.0
Escort,TNC,Seattle University Community,11.0
Escort,TNC,Seattle Uptown,3.0
Escort,TNC,Tacoma Downtown,5.0
Escort,TNC,Tacoma Mall,2.0
Escort,TNC,University Place,1.0
Personal Business,Walk,Auburn,118.0
Personal Business,Walk,Ballard-Interbay,29.0
Personal Business,Walk,Bellevue,2216.0
Personal Business,Walk,Bothell Canyon Park,11.0
Personal Business,Walk,Bremerton,355.0
Personal Business,Walk,Burien,226.0
Personal Business,Walk,Cascade,34.0
Personal Business,Walk,Duwamish,87.0
Personal Business,Walk,Everett,999.0
Personal Business,Walk,Frederickson,6.0
Personal Business,Walk,Kent,155.0
Personal Business,Walk,Kent MIC,29.0
Personal Business,Walk,Kirkland Totem Lake,229.0
Personal Business,Walk,Lakewood,146.0
Personal Business,Walk,Lynnwood,242.0
Personal Business,Walk,Not in RGC,130491.0
Personal Business,Walk,Paine Field / Boeing Everett,11.0
Personal Business,Walk,Puyallup Downtown,117.0
Personal Business,Walk,Puyallup South Hill,89.0
Personal Business,Walk,Redmond Downtown,582.0
Personal Business,Walk,Redmond-Overlake,183.0
Personal Business,Walk,Renton,385.0
Personal Business,Walk,SeaTac,460.0
Personal Business,Walk,Seattle Downtown,8105.0
Personal Business,Walk,Seattle First Hill/Capitol Hill,8660.0
Personal Business,Walk,Seattle Northgate,714.0
Personal Business,Walk,Seattle South Lake Union,2255.0
Personal Business,Walk,Seattle University Community,2553.0
Personal Business,Walk,Seattle Uptown,1435.0
Personal Business,Walk,Silverdale,241.0
Personal Business,Walk,Sumner Pacific,5.0
Personal Business,Walk,Tacoma Downtown,2071.0
Personal Business,Walk,Tacoma Mall,339.0
Personal Business,Walk,Tukwila,8.0
Personal Business,Walk,University Place,339.0
Personal Business,Bike,Auburn,3.0
Personal Business,Bike,Ballard-Interbay,1.0
Personal Business,Bike,Bellevue,54.0
Personal Business,Bike,Bothell Canyon Park,4.0
Personal Business,Bike,Bremerton,17.0
Personal Business,Bike,Burien,14.0
Personal Business,Bike,Cascade,3.0
Personal Business,Bike,Duwamish,6.0
Personal Business,Bike,Everett,48.0
Personal Business,Bike,Frederickson,3.0
Personal Business,Bike,Kent,13.0
Personal Business,Bike,Kent MIC,1.0
Personal Business,Bike,Kirkland Totem Lake,34.0
Personal Business,Bike,Lakewood,9.0
Personal Business,Bike,Lynnwood,22.0
Personal Business,Bike,Not in RGC,13746.0
Personal Business,Bike,Paine Field / Boeing Everett,1.0
Personal Business,Bike,Puyallup Downtown,1.0
Personal Business,Bike,Puyallup South Hill,9.0
Personal Business,Bike,Redmond Downtown,33.0
Personal Business,Bike,Redmond-Overlake,7.0
Personal Business,Bike,Renton,33.0
Personal Business,Bike,SeaTac,47.0
Personal Business,Bike,Seattle Downtown,299.0
Personal Business,Bike,Seattle First Hill/Capitol Hill,421.0
Personal Business,Bike,Seattle Northgate,79.0
Personal Business,Bike,Seattle South Lake Union,106.0
Personal Business,Bike,Seattle University Community,313.0
Personal Business,Bike,Seattle Uptown,82.0
Personal Business,Bike,Silverdale,10.0
Personal Business,Bike,Tacoma Downtown,129.0
Personal Business,Bike,Tacoma Mall,33.0
Personal Business,Bike,University Place,38.0
Personal Business,SOV,Auburn,214.0
Personal Business,SOV,Ballard-Interbay,63.0
Personal Business,SOV,Bellevue,1498.0
Personal Business,SOV,Bothell Canyon Park,68.0
Personal Business,SOV,Bremerton,362.0
