year,geography,geography_type,grouping,estimate,concept,share,data_year
2010,All MICs,MIC (1/5/2024),Housing Units,1790,Center Overview,1,2010
2020,All MICs,MIC (1/5/2024),Housing Units,2150,Center Overview,1,2020
2021,All MICs,MIC (1/5/2024),Housing Units,2160,Center Overview,1,2021
2022,All MICs,MIC (1/5/2024),Housing Units,2350,Center Overview,1,2022
2010,All MICs,MIC (1/5/2024),Population,6140,Center Overview,1,2010
2020,All MICs,MIC (1/5/2024),Population,7750,Center Overview,1,2020
2021,All MICs,MIC (1/5/2024),Population,7650,Center Overview,1,2021
2022,All MICs,MIC (1/5/2024),Population,8090,Center Overview,1,2022
2010,Ballard-Interbay,MIC (1/5/2024),Housing Units,230,Center Overview,1,2010
2020,Ballard-Interbay,MIC (1/5/2024),Housing Units,320,Center Overview,1,2020
2021,Ballard-Interbay,MIC (1/5/2024),Housing Units,320,Center Overview,1,2021
2022,Ballard-Interbay,MIC (1/5/2024),Housing Units,320,Center Overview,1,2022
2010,Ballard-Interbay,MIC (1/5/2024),Population,1070,Center Overview,1,2010
2020,Ballard-Interbay,MIC (1/5/2024),Population,940,Center Overview,1,2020
2021,Ballard-Interbay,MIC (1/5/2024),Population,940,Center Overview,1,2021
2022,Ballard-Interbay,MIC (1/5/2024),Population,940,Center Overview,1,2022
2010,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Housing Units,400,Center Overview,1,2010
2020,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Housing Units,410,Center Overview,1,2020
2021,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Housing Units,410,Center Overview,1,2021
2022,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Housing Units,410,Center Overview,1,2022
2010,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Population,900,Center Overview,1,2010
2020,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Population,1200,Center Overview,1,2020
2021,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Population,1190,Center Overview,1,2021
2022,Cascade Industrial Center - Arlington/Marysville,MIC (1/5/2024),Population,1190,Center Overview,1,2022
2010,Duwamish,MIC (1/5/2024),Housing Units,370,Center Overview,1,2010
2020,Duwamish,MIC (1/5/2024),Housing Units,400,Center Overview,1,2020
2021,Duwamish,MIC (1/5/2024),Housing Units,400,Center Overview,1,2021
2022,Duwamish,MIC (1/5/2024),Housing Units,400,Center Overview,1,2022
2010,Duwamish,MIC (1/5/2024),Population,930,Center Overview,1,2010
2020,Duwamish,MIC (1/5/2024),Population,1610,Center Overview,1,2020
2021,Duwamish,MIC (1/5/2024),Population,1580,Center Overview,1,2021
2022,Duwamish,MIC (1/5/2024),Population,1580,Center Overview,1,2022
2010,Frederickson,MIC (1/5/2024),Housing Units,180,Center Overview,1,2010
2020,Frederickson,MIC (1/5/2024),Housing Units,220,Center Overview,1,2020
2021,Frederickson,MIC (1/5/2024),Housing Units,220,Center Overview,1,2021
2022,Frederickson,MIC (1/5/2024),Housing Units,220,Center Overview,1,2022
2010,Frederickson,MIC (1/5/2024),Population,550,Center Overview,1,2010
2020,Frederickson,MIC (1/5/2024),Population,750,Center Overview,1,2020
2021,Frederickson,MIC (1/5/2024),Population,750,Center Overview,1,2021
2022,Frederickson,MIC (1/5/2024),Population,750,Center Overview,1,2022
2010,Kent,MIC (1/5/2024),Housing Units,160,Center Overview,1,2010
2020,Kent,MIC (1/5/2024),Housing Units,270,Center Overview,1,2020
2021,Kent,MIC (1/5/2024),Housing Units,270,Center Overview,1,2021
2022,Kent,MIC (1/5/2024),Housing Units,270,Center Overview,1,2022
2010,Kent,MIC (1/5/2024),Population,310,Center Overview,1,2010
2020,Kent,MIC (1/5/2024),Population,560,Center Overview,1,2020
2021,Kent,MIC (1/5/2024),Population,550,Center Overview,1,2021
2022,Kent,MIC (1/5/2024),Population,550,Center Overview,1,2022
2010,North Tukwila,MIC (1/5/2024),Housing Units,60,Center Overview,1,2010
2020,North Tukwila,MIC (1/5/2024),Housing Units,0,Center Overview,1,2020
2021,North Tukwila,MIC (1/5/2024),Housing Units,0,Center Overview,1,2021
2022,North Tukwila,MIC (1/5/2024),Housing Units,0,Center Overview,1,2022
2010,North Tukwila,MIC (1/5/2024),Population,110,Center Overview,1,2010
2020,North Tukwila,MIC (1/5/2024),Population,0,Center Overview,1,2020
2021,North Tukwila,MIC (1/5/2024),Population,0,Center Overview,1,2021
2022,North Tukwila,MIC (1/5/2024),Population,0,Center Overview,1,2022
2010,Paine Field/Boeing Everett,MIC (1/5/2024),Housing Units,170,Center Overview,1,2010
2020,Paine Field/Boeing Everett,MIC (1/5/2024),Housing Units,370,Center Overview,1,2020
2021,Paine Field/Boeing Everett,MIC (1/5/2024),Housing Units,380,Center Overview,1,2021
2022,Paine Field/Boeing Everett,MIC (1/5/2024),Housing Units,570,Center Overview,1,2022
2010,Paine Field/Boeing Everett,MIC (1/5/2024),Population,460,Center Overview,1,2010
2020,Paine Field/Boeing Everett,MIC (1/5/2024),Population,1250,Center Overview,1,2020
2021,Paine Field/Boeing Everett,MIC (1/5/2024),Population,1250,Center Overview,1,2021
2022,Paine Field/Boeing Everett,MIC (1/5/2024),Population,1690,Center Overview,1,2022
2010,Port of Tacoma,MIC (1/5/2024),Housing Units,0,Center Overview,1,2010
2020,Port of Tacoma,MIC (1/5/2024),Housing Units,0,Center Overview,1,2020
2021,Port of Tacoma,MIC (1/5/2024),Housing Units,0,Center Overview,1,2021
2022,Port of Tacoma,MIC (1/5/2024),Housing Units,0,Center Overview,1,2022
2010,Port of Tacoma,MIC (1/5/2024),Population,1290,Center Overview,1,2010
2020,Port of Tacoma,MIC (1/5/2024),Population,1060,Center Overview,1,2020
2021,Port of Tacoma,MIC (1/5/2024),Population,1050,Center Overview,1,2021
2022,Port of Tacoma,MIC (1/5/2024),Population,1050,Center Overview,1,2022
2010,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Housing Units,60,Center Overview,1,2010
2020,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Housing Units,60,Center Overview,1,2020
2021,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Housing Units,60,Center Overview,1,2021
2022,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Housing Units,60,Center Overview,1,2022
2010,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Population,120,Center Overview,1,2010
2020,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Population,120,Center Overview,1,2020
2021,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Population,120,Center Overview,1,2021
2022,Puget Sound Industrial Center - Bremerton,MIC (1/5/2024),Population,120,Center Overview,1,2022
2010,Sumner-Pacific,MIC (1/5/2024),Housing Units,80,Center Overview,1,2010
2020,Sumner-Pacific,MIC (1/5/2024),Housing Units,50,Center Overview,1,2020
2021,Sumner-Pacific,MIC (1/5/2024),Housing Units,50,Center Overview,1,2021
2022,Sumner-Pacific,MIC (1/5/2024),Housing Units,50,Center Overview,1,2022
2010,Sumner-Pacific,MIC (1/5/2024),Population,200,Center Overview,1,2010
2020,Sumner-Pacific,MIC (1/5/2024),Population,130,Center Overview,1,2020
2021,Sumner-Pacific,MIC (1/5/2024),Population,110,Center Overview,1,2021
2022,Sumner-Pacific,MIC (1/5/2024),Population,110,Center Overview,1,2022
2010,All RGCs,Regional Growth Center (12/12/2023),Housing Units,110610,Center Overview,1,2010
2020,All RGCs,Regional Growth Center (12/12/2023),Housing Units,157190,Center Overview,1,2020
2021,All RGCs,Regional Growth Center (12/12/2023),Housing Units,161850,Center Overview,1,2021
2022,All RGCs,Regional Growth Center (12/12/2023),Housing Units,169180,Center Overview,1,2022
2010,All RGCs,Regional Growth Center (12/12/2023),Population,180640,Center Overview,1,2010
2020,All RGCs,Regional Growth Center (12/12/2023),Population,266490,Center Overview,1,2020
2021,All RGCs,Regional Growth Center (12/12/2023),Population,265580,Center Overview,1,2021
2022,All RGCs,Regional Growth Center (12/12/2023),Population,284950,Center Overview,1,2022
2010,Auburn,Regional Growth Center (12/12/2023),Housing Units,730,Center Overview,1,2010
2020,Auburn,Regional Growth Center (12/12/2023),Housing Units,820,Center Overview,1,2020
2021,Auburn,Regional Growth Center (12/12/2023),Housing Units,820,Center Overview,1,2021
2022,Auburn,Regional Growth Center (12/12/2023),Housing Units,1090,Center Overview,1,2022
2010,Auburn,Regional Growth Center (12/12/2023),Population,1370,Center Overview,1,2010
2020,Auburn,Regional Growth Center (12/12/2023),Population,1920,Center Overview,1,2020
2021,Auburn,Regional Growth Center (12/12/2023),Population,1920,Center Overview,1,2021
2022,Auburn,Regional Growth Center (12/12/2023),Population,2530,Center Overview,1,2022
2010,Bellevue Downtown,Regional Growth Center (12/12/2023),Housing Units,7020,Center Overview,1,2010
2020,Bellevue Downtown,Regional Growth Center (12/12/2023),Housing Units,10450,Center Overview,1,2020
2021,Bellevue Downtown,Regional Growth Center (12/12/2023),Housing Units,10570,Center Overview,1,2021
2022,Bellevue Downtown,Regional Growth Center (12/12/2023),Housing Units,10650,Center Overview,1,2022
2010,Bellevue Downtown,Regional Growth Center (12/12/2023),Population,7120,Center Overview,1,2010
2020,Bellevue Downtown,Regional Growth Center (12/12/2023),Population,15280,Center Overview,1,2020
2021,Bellevue Downtown,Regional Growth Center (12/12/2023),Population,15510,Center Overview,1,2021
2022,Bellevue Downtown,Regional Growth Center (12/12/2023),Population,15650,Center Overview,1,2022
2010,Bothell Canyon Park,Regional Growth Center (12/12/2023),Housing Units,150,Center Overview,1,2010
2020,Bothell Canyon Park,Regional Growth Center (12/12/2023),Housing Units,180,Center Overview,1,2020
2021,Bothell Canyon Park,Regional Growth Center (12/12/2023),Housing Units,180,Center Overview,1,2021
2022,Bothell Canyon Park,Regional Growth Center (12/12/2023),Housing Units,180,Center Overview,1,2022
2010,Bothell Canyon Park,Regional Growth Center (12/12/2023),Population,300,Center Overview,1,2010
2020,Bothell Canyon Park,Regional Growth Center (12/12/2023),Population,480,Center Overview,1,2020
2021,Bothell Canyon Park,Regional Growth Center (12/12/2023),Population,480,Center Overview,1,2021
2022,Bothell Canyon Park,Regional Growth Center (12/12/2023),Population,480,Center Overview,1,2022
2010,Bremerton,Regional Growth Center (12/12/2023),Housing Units,1290,Center Overview,1,2010
2020,Bremerton,Regional Growth Center (12/12/2023),Housing Units,1460,Center Overview,1,2020
2021,Bremerton,Regional Growth Center (12/12/2023),Housing Units,1550,Center Overview,1,2021
2022,Bremerton,Regional Growth Center (12/12/2023),Housing Units,1730,Center Overview,1,2022
2010,Bremerton,Regional Growth Center (12/12/2023),Population,5440,Center Overview,1,2010
2020,Bremerton,Regional Growth Center (12/12/2023),Population,6210,Center Overview,1,2020
2021,Bremerton,Regional Growth Center (12/12/2023),Population,6060,Center Overview,1,2021
2022,Bremerton,Regional Growth Center (12/12/2023),Population,6960,Center Overview,1,2022
2010,Burien,Regional Growth Center (12/12/2023),Housing Units,1710,Center Overview,1,2010
2020,Burien,Regional Growth Center (12/12/2023),Housing Units,1980,Center Overview,1,2020
2021,Burien,Regional Growth Center (12/12/2023),Housing Units,1990,Center Overview,1,2021
2022,Burien,Regional Growth Center (12/12/2023),Housing Units,2000,Center Overview,1,2022
2010,Burien,Regional Growth Center (12/12/2023),Population,2870,Center Overview,1,2010
2020,Burien,Regional Growth Center (12/12/2023),Population,3870,Center Overview,1,2020
2021,Burien,Regional Growth Center (12/12/2023),Population,3890,Center Overview,1,2021
2022,Burien,Regional Growth Center (12/12/2023),Population,3900,Center Overview,1,2022
2010,Everett,Regional Growth Center (12/12/2023),Housing Units,3070,Center Overview,1,2010
2020,Everett,Regional Growth Center (12/12/2023),Housing Units,3870,Center Overview,1,2020
2021,Everett,Regional Growth Center (12/12/2023),Housing Units,3910,Center Overview,1,2021
2022,Everett,Regional Growth Center (12/12/2023),Housing Units,4070,Center Overview,1,2022
2010,Everett,Regional Growth Center (12/12/2023),Population,6170,Center Overview,1,2010
2020,Everett,Regional Growth Center (12/12/2023),Population,7300,Center Overview,1,2020
2021,Everett,Regional Growth Center (12/12/2023),Population,7050,Center Overview,1,2021
2022,Everett,Regional Growth Center (12/12/2023),Population,7360,Center Overview,1,2022
2010,Federal Way,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2010
2020,Federal Way,Regional Growth Center (12/12/2023),Housing Units,60,Center Overview,1,2020
2021,Federal Way,Regional Growth Center (12/12/2023),Housing Units,260,Center Overview,1,2021
2022,Federal Way,Regional Growth Center (12/12/2023),Housing Units,260,Center Overview,1,2022
2010,Federal Way,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2010
2020,Federal Way,Regional Growth Center (12/12/2023),Population,80,Center Overview,1,2020
2021,Federal Way,Regional Growth Center (12/12/2023),Population,330,Center Overview,1,2021
2022,Federal Way,Regional Growth Center (12/12/2023),Population,330,Center Overview,1,2022
2010,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2010
2020,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2020
2021,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2021
2022,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2022
2010,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2010
2020,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2020
2021,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2021
2022,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2022
2010,Kent,Regional Growth Center (12/12/2023),Housing Units,590,Center Overview,1,2010
2020,Kent,Regional Growth Center (12/12/2023),Housing Units,920,Center Overview,1,2020
2021,Kent,Regional Growth Center (12/12/2023),Housing Units,1090,Center Overview,1,2021
2022,Kent,Regional Growth Center (12/12/2023),Housing Units,1090,Center Overview,1,2022
2010,Kent,Regional Growth Center (12/12/2023),Population,1470,Center Overview,1,2010
2020,Kent,Regional Growth Center (12/12/2023),Population,2320,Center Overview,1,2020
2021,Kent,Regional Growth Center (12/12/2023),Population,2770,Center Overview,1,2021
2022,Kent,Regional Growth Center (12/12/2023),Population,2670,Center Overview,1,2022
2010,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,3440,Center Overview,1,2010
2020,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,9650,Center Overview,1,2020
2021,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,9700,Center Overview,1,2021
2022,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,9700,Center Overview,1,2022
2010,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,5180,Center Overview,1,2010
2020,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,16700,Center Overview,1,2020
2021,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,16710,Center Overview,1,2021
2022,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,16800,Center Overview,1,2022
2010,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Housing Units,3090,Center Overview,1,2010
2020,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Housing Units,3100,Center Overview,1,2020
